COUNTRY,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AUSTRALIA,2752,2931,2608,2915,3458,4374,8983,9319,5943,5847,5715,4104,3083,3224,2966,2002,2124,2189,2597,2298,1965,2603,2223,2647,3027,3735,3467,3657,3850,3062,3957,4259,4748,4467,4860,4819,3993,2937,2468,777
AUSTRIA,0,6,4,10,4,4,4,4,15,18,11,17,24,18,10,22,30,35,37,35,39,86,94,163,181,94,158,163,140,106,118,103,104,88,81,64,84,100,87,30
BELGIUM,4,13,15,20,23,18,8,8,20,56,48,66,80,61,82,95,116,108,140,136,120,161,125,109,141,134,102,153,123,126,131,179,171,186,143,184,170,135,179,58
CANADA,5226,4898,3946,2463,2097,3206,5757,6602,8040,8400,7211,7454,11627,14302,11288,10050,8215,5651,6712,8245,9737,8795,9521,10108,13598,13230,14572,16443,19967,27302,26203,24354,19041,22479,33700,29039,27376,23014,18190,4579
DENMARK,5,18,15,23,13,5,11,17,10,56,76,130,129,96,83,76,68,51,72,51,44,14,16,17,27,30,36,45,49,41,41,34,45,55,46,52,36,70,61,16
FINLAND,2,2,4,1,0,0,2,0,0,12,4,3,4,0,4,4,6,11,3,8,5,17,20,22,24,30,40,44,47,64,87,103,66,112,67,66,46,45,81,31
FRANCE,16,26,27,29,34,27,35,37,36,39,41,36,50,39,43,41,44,42,60,65,60,88,69,60,62,86,118,130,119,135,159,172,161,211,159,206,154,181,251,71
GERMANY ,45,263,282,346,213,88,58,83,135,334,522,593,780,784,661,542,566,560,550,552,507,518,445,393,367,457,424,489,518,510,590,553,609,578,651,613,616,687,730,304
GREECE,1,1,1,0,1,0,0,3,3,7,3,9,13,5,16,10,6,2,2,1,0,3,2,0,1,2,1,4,0,4,1,6,4,3,4,2,2,4,3,0
GREENLAND,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,1,0,0
HONGKONG,19,45,51,110,17,5,2,6,22,24,23,28,22,7,4,1,4,12,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ICELAND,0,1,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,2,0,5,2,28,20,25,33,29,10,19,25,27,34,9,18,21,16,25,11,3
INDIA,0,0,0,1,0,0,0,0,2,5,4,2,4,4,7,4,3,2,2,0,0,3,0,1,0,1,4,1,4,4,10,9,22,13,25,15,31,23,26,6
IRELAND,1,1,0,0,0,0,0,1,3,4,4,7,5,1,3,1,2,3,2,12,7,48,51,55,111,154,110,121,61,76,68,115,139,130,161,128,102,145,99,16
ITALY,4,8,11,19,10,4,9,32,109,160,130,105,123,99,71,72,50,96,125,371,823,982,662,859,1250,954,1490,2405,2734,3319,3632,3818,4526,3275,2452,2451,2241,1459,774,232
JAPAN,254,310,140,137,126,53,6,62,1271,3569,3946,4048,4527,4225,4883,4510,4171,3810,4219,6468,6021,5734,5929,5993,7062,9742,8806,7682,5278,3766,3965,4759,4554,4341,4387,4313,4129,3962,3862,1100
JORDAN,0,0,3,4,0,0,0,0,0,0,23,21,12,11,11,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALAYSIA,1,5,4,10,7,2,0,0,2,5,17,10,18,19,35,61,56,28,18,11,1,1,0,2,1,1,1,0,0,2,1,0,1,1,1,0,0,0,1,0
NETHERLANDS,8,21,22,17,22,15,15,14,28,47,53,51,39,31,58,62,51,64,86,99,128,184,209,171,191,136,120,198,225,211,268,234,263,316,319,336,377,418,402,208
NEW ZEALAND,12,25,41,55,52,37,45,11,55,50,91,128,237,287,579,1005,405,253,186,261,284,624,382,131,394,1973,1639,1252,1725,1114,1185,1170,888,974,1197,1512,1236,617,1178,477
NORWAY,11,25,46,74,110,95,84,53,63,69,65,52,61,54,47,69,127,171,159,170,153,162,223,214,182,252,330,257,302,345,462,452,370,507,426,546,497,499,421,88
PORTUGAL,1,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,1,0,0,0,0,2,4,5,4,5,13,12,6,18,4,18,11,3,6,3,4
SAUDI ARABIA,2,5,11,14,10,2,0,9,5,13,16,21,23,12,18,21,17,15,16,4,5,1,1,0,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0
SINGAPORE,9,38,16,29,30,12,0,5,1,1,0,4,2,2,0,1,2,0,0,0,0,0,0,0,3,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0
SOUTH KOREA,14,7,2,6,6,0,0,1,4,4,14,14,25,18,31,237,277,256,422,110,62,55,77,289,480,281,576,1482,1458,1565,1618,1632,1419,982,700,694,616,687,653,219
SPAIN,8,35,18,57,34,11,28,56,120,94,57,77,108,86,68,40,25,39,345,336,411,451,586,579,685,898,933,907,970,693,871,808,868,834,1005,966,920,694,546,162
SWEDEN,7,30,20,47,20,34,30,25,35,59,71,56,88,154,109,82,93,139,93,133,123,257,246,264,252,347,374,379,461,416,401,448,315,333,287,331,452,337,247,80
SWITZERLAND,10,18,16,26,4,16,12,7,16,54,61,58,55,49,47,48,34,27,41,27,16,35,51,80,106,100,96,84,150,131,167,198,199,160,194,189,137,156,153,68
TAIWAN (ROC),18,30,0,27,11,3,0,1,5,25,34,30,77,168,243,310,285,272,212,102,48,52,39,45,71,187,62,81,228,189,193,158,143,182,277,237,444,467,465,133
TURKEY,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,3,0,0,0,1,2,0,1,3,1,0,1,3,0,3,4,13,48,50,94,89,25
UNITED ARAB EMIRATES,5,3,2,7,4,4,2,5,11,35,32,38,34,26,27,23,29,30,17,18,21,6,10,17,8,17,9,10,7,8,0,0,0,1,0,1,1,0,1,1
UNITED KINGDOM,88,682,346,364,276,658,436,256,248,291,286,205,159,174,151,150,195,193,225,174,176,271,225,309,478,556,654,552,646,817,749,881,829,783,936,1129,1015,1025,1345,442
UNITED STATES OF AMERICA,40307,44438,34794,34682,38653,40650,40813,41378,39524,43781,43824,46691,44903,40515,34614,41312,37002,24886,24123,31324,31287,36557,33916,42350,40280,49522,46420,34201,40598,42007,38463,39124,38637,39594,40814,41298,34956,35839,32698,6539
